job,marital,balance,age_group,is_having_debt,Cluster
white-collar,married,36362424,gen_x,1,2
white-collar,single,492072,gen_x,1,1
entrepreneur,married,33936,millennials,2,0
blue-collar,married,25553808,gen_x,1,2
others,single,16968,millennials,0,1
white-collar,married,3919608,millennials,1,0
white-collar,single,7584696,gen-z,2,1
entrepreneur,single,33936,gen_x,1,1
others,married,2053128,gen_x,1,2
white-collar,single,10062024,gen_x,1,1
white-collar,single,4581360,gen_x,1,1
white-collar,single,6617520,gen-z,1,1
white-collar,married,101808,gen_x,1,2
white-collar,married,1204728,gen_x,1,2
blue-collar,married,2748816,gen_x,1,2
others,married,3885672,gen_x,1,2
white-collar,single,220584,gen_x,1,1
blue-collar,married,882336,gen_x,1,2
others,married,1018080,gen_x,1,2
blue-collar,married,0,millennials,1,2
blue-collar,married,12267864,gen-z,2,2
white-collar,married,13218072,gen_x,1,2
blue-collar,single,390264,millennials,2,1
blue-collar,married,848400,gen-z,1,2
others,married,0,millennials,2,0
white-collar,married,-6312096,gen_x,1,2
white-collar,single,4326840,millennials,1,0
entrepreneur,married,1917384,gen_x,2,2
white-collar,single,-4174128,gen_x,1,1
white-collar,single,4496520,millennials,2,0
white-collar,married,14236152,gen_x,1,2
white-collar,married,6413904,gen_x,1,2
white-collar,married,661752,gen_x,2,2
blue-collar,married,0,gen_x,1,2
white-collar,married,180454680,gen_x,1,2
white-collar,single,1068984,gen_x,1,1
blue-collar,married,-118776,gen-z,1,2
white-collar,married,-50904,gen_x,0,2
white-collar,single,8585808,millennials,1,0
white-collar,single,0,millennials,1,0
blue-collar,single,43879248,gen_x,1,1
white-collar,married,831432,gen_x,1,2
blue-collar,married,1764672,gen_x,1,2
others,married,8976072,gen_x,1,2
others,married,1628928,gen_x,1,2
white-collar,single,-2901528,millennials,1,0
white-collar,married,-6176352,gen_x,1,2
white-collar,married,0,gen_x,1,2
white-collar,single,0,gen_x,0,1
white-collar,single,0,gen-z,1,1
blue-collar,married,21905688,gen_x,1,2
white-collar,single,-4140192,gen_x,1,1
white-collar,married,0,millennials,1,0
white-collar,single,-1289568,gen_x,1,1
white-collar,single,-1747704,gen-z,2,1
entrepreneur,single,4123224,millennials,1,1
white-collar,single,7194432,millennials,1,0
blue-collar,married,5192208,gen_x,1,2
blue-collar,single,407232,millennials,1,1
blue-collar,married,3037272,gen_x,1,2
white-collar,married,0,millennials,1,0
white-collar,single,16781352,gen_x,1,1
blue-collar,married,4225032,gen_x,1,2
blue-collar,married,13404720,millennials,1,2
blue-collar,married,2613072,gen_x,1,2
white-collar,married,110801040,gen_x,1,2
others,married,1696800,gen_x,0,2
white-collar,single,1001112,gen_x,1,1
white-collar,married,20446440,gen_x,1,2
blue-collar,single,207399864,millennials,2,1
blue-collar,married,100705080,gen_x,2,2
blue-collar,married,424200,millennials,2,2
white-collar,married,4784976,gen_x,2,2
blue-collar,married,390264,gen_x,1,2
white-collar,married,32867016,gen_x,1,2
white-collar,married,6515712,gen_x,1,2
blue-collar,married,9875376,gen_x,1,2
blue-collar,single,1544088,gen_x,0,1
blue-collar,single,0,gen_x,2,1
blue-collar,single,16968,gen_x,1,1
white-collar,single,3495408,gen_x,1,1
blue-collar,single,2782752,gen_x,0,1
white-collar,single,11707920,gen_x,1,1
white-collar,married,39756024,gen_x,1,2
white-collar,married,2324616,gen_x,2,2
blue-collar,married,2935464,gen_x,1,2
white-collar,married,763560,gen_x,0,2
white-collar,married,21549360,gen_x,1,2
white-collar,single,271488,gen_x,2,1
others,married,8246448,gen_x,1,2
white-collar,single,848400,gen_x,0,1
white-collar,married,2579136,gen-z,2,0
white-collar,married,4920720,gen_x,1,2
blue-collar,married,916272,gen_x,1,2
entrepreneur,single,-627816,gen_x,0,1
white-collar,married,1713768,millennials,2,0
blue-collar,married,6498744,gen_x,0,2
others,married,1374408,gen_x,1,2
white-collar,married,0,millennials,1,0
white-collar,married,3885672,gen_x,1,2
blue-collar,married,-11436432,gen_x,1,2
blue-collar,married,1527120,gen_x,0,2
blue-collar,married,2171904,gen_x,1,2
blue-collar,married,3037272,gen_x,1,2
white-collar,single,0,gen-z,1,1
blue-collar,married,916272,gen_x,1,2
white-collar,married,2562168,gen_x,1,2
white-collar,married,1035048,millennials,1,0
others,single,509040,gen_x,1,1
white-collar,married,8874264,gen_x,1,2
blue-collar,single,526008,gen-z,1,1
white-collar,single,1340472,gen_x,0,1
white-collar,married,-576912,gen_x,2,2
blue-collar,married,7601664,millennials,1,2
others,single,1374408,gen_x,1,1
blue-collar,married,2443392,gen_x,1,2
white-collar,married,5955768,gen_x,1,2
white-collar,single,-1136856,millennials,1,0
white-collar,single,4445616,gen_x,0,1
white-collar,married,0,gen_x,0,2
white-collar,single,950208,gen_x,1,1
blue-collar,married,441168,gen_x,1,2
white-collar,married,50904,millennials,1,0
blue-collar,married,695688,gen_x,2,2
white-collar,married,118776,gen_x,1,2
white-collar,single,1781640,millennials,1,0
white-collar,single,13879824,gen-z,2,1
blue-collar,married,-271488,millennials,2,2
blue-collar,married,0,millennials,1,2
blue-collar,married,42012768,gen_x,1,2
white-collar,married,20107080,gen_x,0,2
white-collar,single,3682056,millennials,1,0
white-collar,single,28591080,millennials,1,0
white-collar,single,13608336,gen_x,2,1
others,single,0,gen-z,1,1
blue-collar,married,1594992,gen-z,1,2
white-collar,single,0,millennials,1,0
blue-collar,single,0,gen_x,0,1
blue-collar,married,8772456,millennials,1,2
blue-collar,married,4496520,gen_x,1,2
blue-collar,single,16068696,gen_x,1,1
white-collar,single,50904,millennials,1,0
others,married,712656,gen_x,0,2
blue-collar,married,627816,millennials,1,2
blue-collar,married,967176,gen_x,1,2
blue-collar,married,373296,millennials,1,2
blue-collar,single,135744,gen_x,1,1
others,married,4971624,gen_x,1,2
blue-collar,married,50904,gen_x,1,2
blue-collar,married,5904864,gen_x,1,2
blue-collar,married,-322392,gen_x,1,2
others,single,0,gen-z,1,1
white-collar,married,-67872,millennials,1,0
white-collar,married,305424,millennials,1,0
white-collar,married,2358552,gen_x,0,2
blue-collar,married,0,gen_x,1,2
blue-collar,married,31950744,gen_x,1,2
others,single,3665088,gen_x,1,1
blue-collar,married,13268976,gen_x,1,2
blue-collar,married,15339072,gen_x,1,2
blue-collar,married,28930440,gen_x,1,2
white-collar,single,797496,millennials,1,0
blue-collar,single,2986368,gen_x,1,1
blue-collar,married,20785800,millennials,1,2
white-collar,married,1459248,gen_x,1,2
white-collar,single,1391376,gen-z,1,1
white-collar,married,4598328,gen_x,1,2
white-collar,married,23381904,gen_x,1,2
white-collar,married,3122112,gen_x,0,2
